date,open,high,low,close,volume
2022-02-01,38479.07,39293.49,38040.79,38760.84,2101.64029
2022-02-02,38749.46,38901.72,36714.57,36986.82,1845.88693
2022-02-03,36990.63,37421.46,36263.85,37350.06,1939.71345
2022-02-04,37346.6,41756.61,37060.63,41623.46,2907.56103
2022-02-05,41618.98,41956.91,40966.23,41419.49,1415.07262
2022-02-06,41419.49,42702.76,41171.03,42409.56,1267.26592
2022-02-07,42417.64,44565.52,41663.83,43887.92,2342.88996
2022-02-08,43898.03,45517.86,42716.8,44116.66,3179.12012
2022-02-09,44118.77,44802.21,43150.95,44434.63,1740.43643
2022-02-10,44430.34,45829.34,43219.97,43519.31,2802.89835
2022-02-11,43531.15,43967.9,41980.16,42410.68,2157.89018
2022-02-12,42404.8,43055.79,41779.87,42258.99,1141.23492
2022-02-13,42265.15,42833.77,41930.87,42109.68,1011.24074
2022-02-14,42115.69,42879.25,41601.67,42561.86,1848.20643
2022-02-15,42572.3,44748.04,42473.94,44536.33,1601.41878
2022-02-16,44540.56,44557.15,43362.7,43884.64,1363.48316
2022-02-17,43894.29,44196.46,40076.06,40549.79,2108.11447
2022-02-18,40561.65,41014.99,39472.98,40023.93,2029.24078
2022-02-19,40023.93,40500.86,39680.67,40123.63,671.29847
2022-02-20,40122.19,40166.79,38003.74,38384.47,1261.206
2022-02-21,38391.38,39524.8,36832.16,37056.12,2368.60706
2022-02-22,37048.07,38480.76,36365.17,38262.86,1976.26225
2022-02-23,38278.21,39238.36,37064.98,37260.13,1486.96948
2022-02-24,37274.97,39758.14,34336.56,38272.53,4566.08987
2022-02-25,38263.49,39749.03,38019.53,39234.85,1726.51719
2022-02-26,39249.45,40272.39,38621.97,39151.89,772.70969
2022-02-27,39149.51,39874.33,37279.76,37741.32,1583.24308
2022-02-28,37740.94,44153.77,37467.56,43171.59,2516.91396
