date,open,high,low,close,volume
2025-07-01,107183.69,107543.62,105328.26,105740.17,248.16713
2025-07-02,105728.5,109794.86,105173.26,108845.59,351.10719
2025-07-03,108864.15,110583.19,108552.64,109637.73,283.08873
2025-07-04,109635.87,109812.89,107342.58,108097.0,180.19422
2025-07-05,108097.0,108511.4,107851.5,108302.54,64.90576
2025-07-06,108302.55,109671.64,107878.58,109231.87,113.27881
2025-07-07,109227.25,109720.29,107557.96,108273.61,180.08428
2025-07-08,108282.04,109241.24,107446.82,108942.12,156.54165
2025-07-09,108958.85,111936.0,108322.03,111255.76,393.85701
2025-07-10,111241.54,116393.11,110532.7,115160.05,432.45385
2025-07-11,115171.04,118301.63,114354.2,116885.69,803.96155
2025-07-12,116885.68,117499.68,116070.5,116616.92,174.03175
2025-07-13,116622.23,118740.55,116410.97,118626.97,266.06565
2025-07-14,118640.17,122054.86,118479.34,119716.76,750.21875
2025-07-15,119727.03,119848.74,115701.94,117682.12,522.1425
2025-07-16,117695.59,119951.89,116952.27,118641.3,422.3406
2025-07-17,118642.33,120807.01,117301.14,119101.81,385.81684
2025-07-18,119116.26,120800.15,116805.58,117877.79,472.55663
2025-07-19,117879.58,118437.32,117233.37,117809.72,115.23929
2025-07-20,117811.23,118678.99,116208.0,117240.87,266.09097
2025-07-21,117235.76,119603.31,116534.27,117402.48,403.99178
2025-07-22,117370.69,120222.7,116131.37,119982.29,405.73952
2025-07-23,119985.18,120144.13,117321.83,118798.55,311.55432
2025-07-24,118780.39,119589.06,117146.7,118381.49,281.10306
2025-07-25,118396.17,118498.29,114779.46,117565.98,505.34695
2025-07-26,117556.14,118248.15,117083.2,117851.43,111.28031
2025-07-27,117860.59,119760.13,117768.81,119398.29,149.44193
2025-07-28,119430.4,119774.87,117404.89,118069.93,299.72082
2025-07-29,118045.69,119221.87,116958.37,117925.42,301.8493
2025-07-30,117946.61,118730.7,115772.24,117783.03,328.19552
2025-07-31,117820.47,118864.72,115602.46,115802.77,383.12838
