date,open,high,low,close,volume
2025-09-01,108264.0,109894.21,107304.89,109264.86,247.26262
2025-09-02,109261.74,111800.12,108389.44,111187.5,269.23606
2025-09-03,111196.53,112596.57,110452.21,111759.39,166.04236
2025-09-04,111737.06,112224.17,109374.48,110758.01,202.92249
2025-09-05,110764.27,113466.02,110289.72,110692.59,354.09921
2025-09-06,110698.12,111327.56,110034.07,110262.56,65.71083
2025-09-07,110262.56,111607.37,110247.04,111145.1,68.60607
2025-09-08,111107.52,112923.14,110629.52,112084.45,149.71062
2025-09-09,112069.43,113275.92,110792.76,111543.03,239.07145
2025-09-10,111523.82,114291.81,110925.71,113944.03,279.39045
2025-09-11,113923.59,115527.7,113440.54,115520.34,210.45693
2025-09-12,115514.44,116793.27,114775.85,115969.53,227.8313
2025-09-13,115974.11,116201.38,114781.6,115603.49,116.44367
2025-09-14,115599.9,116071.22,114853.71,115311.67,132.96235
2025-09-15,115317.98,116777.39,114401.69,115391.8,205.71068
2025-09-16,115402.15,117024.37,114785.53,116851.56,171.26947
2025-09-17,116844.11,117334.44,114732.9,116443.92,329.52621
2025-09-18,116440.67,117930.63,116120.61,117101.44,266.03693
2025-09-19,117121.92,117488.87,115201.27,115784.31,162.98797
2025-09-20,115783.29,116290.35,115567.81,115860.24,53.93351
2025-09-21,115860.25,115949.98,115261.49,115326.14,67.9853
2025-09-22,115292.06,115476.19,112035.57,112793.11,399.79727
2025-09-23,112780.0,113393.1,111556.99,112063.96,184.12896
2025-09-24,112054.47,114035.29,111142.47,113372.29,196.24967
2025-09-25,113389.9,113586.99,108702.68,109061.89,361.5631
2025-09-26,109052.19,110432.91,108736.81,109779.81,261.50632
2025-09-27,109779.65,109867.81,109212.48,109786.32,85.9946
2025-09-28,109786.32,112437.54,109306.88,112258.33,130.90398
2025-09-29,112295.57,114474.27,111639.47,114385.43,244.45206
2025-09-30,114349.58,114839.74,112711.63,114064.06,230.82638
