date,open,high,low,close,volume
2024-09-01,58940.37,59038.84,57263.67,57398.31,125.24192
2024-09-02,57356.88,59449.37,57208.29,59173.82,153.06289
2024-09-03,59189.19,59844.1,57452.4,57528.71,179.08575
2024-09-04,57497.71,58577.19,55658.97,58018.65,304.78224
2024-09-05,58027.06,58367.2,55661.1,56194.62,211.09007
2024-09-06,56205.3,57046.76,52622.08,54205.28,375.24968
2024-09-07,54203.0,54997.17,53961.72,54300.35,108.89236
2024-09-08,54329.7,55507.51,53752.55,54978.6,114.88847
2024-09-09,54999.79,58092.88,54662.04,57079.24,212.25638
2024-09-10,57068.29,58080.53,56425.26,57661.6,149.6074
2024-09-11,57672.95,58002.56,55599.07,57356.7,207.24666
2024-09-12,57359.78,58576.73,57356.07,58176.6,213.59365
2024-09-13,58178.17,60615.15,57673.17,60479.92,306.46494
2024-09-14,60479.92,60591.41,59360.4,59949.86,101.5042
2024-09-15,59952.23,60348.58,58735.33,59165.02,105.40695
2024-09-16,59157.98,59244.05,57466.09,58163.23,244.85967
2024-09-17,58184.51,61321.82,57587.26,60318.68,318.54856
2024-09-18,60335.71,61788.57,59216.16,61772.59,253.59986
2024-09-19,61782.72,63886.99,61556.14,62911.74,314.79419
2024-09-20,62932.92,64087.99,62377.12,63229.3,160.57598
2024-09-21,63208.96,63583.52,62770.6,63384.24,45.3378
2024-09-22,63408.19,64027.56,62427.23,63586.38,88.11495
2024-09-23,63610.28,64712.21,62592.71,63348.31,156.28635
2024-09-24,63419.68,64666.95,62744.39,64275.18,173.52777
2024-09-25,64294.17,64828.56,62964.51,63167.49,112.88443
2024-09-26,63166.94,65836.84,62706.27,65186.86,252.72467
2024-09-27,65188.43,66517.22,64816.53,65805.3,197.09247
2024-09-28,65807.29,66271.48,65439.78,65886.27,69.81676
2024-09-29,65875.26,66086.32,65449.58,65634.64,59.59983
2024-09-30,65650.22,65650.41,62872.69,63367.75,207.43778
