date,open,high,low,close,volume
2023-08-01,29335.39,29815.66,28685.91,29793.13,981.01577
2023-08-02,29793.71,30123.66,29002.93,29260.38,820.79767
2023-08-03,29252.56,29500.97,28977.63,29313.94,558.82788
2023-08-04,29308.69,29653.5,29195.12,29540.32,784.525
2023-08-05,29541.48,29584.08,29373.92,29489.8,271.73926
2023-08-06,29490.36,29589.53,29389.77,29491.2,257.99333
2023-08-07,29495.75,29857.52,29134.19,29753.69,830.90967
2023-08-08,29761.25,30789.16,29515.59,30345.65,798.7333
2023-08-09,30343.32,30644.24,29938.6,30190.05,534.69468
2023-08-10,30195.61,30242.04,29676.54,29933.87,501.65102
2023-08-11,29930.65,30030.62,29725.49,29880.19,333.50783
2023-08-12,29880.89,29920.01,29620.95,29653.23,158.35772
2023-08-13,29652.47,29693.62,29454.24,29586.59,164.08492
2023-08-14,29582.67,30086.0,29357.69,29859.46,423.72495
2023-08-15,29856.49,29865.0,29274.2,29405.2,516.92502
2023-08-16,29397.32,29455.91,28923.24,28923.89,526.85525
2023-08-17,28921.11,28980.04,26083.68,26896.52,1534.5672
2023-08-18,26893.03,27452.56,26221.18,26626.13,1242.51355
2023-08-19,26622.16,26861.39,26302.24,26574.21,489.01916
2023-08-20,26575.37,26733.08,26372.39,26500.72,322.92402
2023-08-21,26503.36,26503.36,25984.96,26246.68,621.68989
2023-08-22,26254.03,26260.52,25466.81,26149.52,824.92347
2023-08-23,26153.93,26890.38,25923.26,26500.57,832.26191
2023-08-24,26496.71,26640.38,25910.24,26197.66,609.28891
2023-08-25,26199.0,26381.35,25849.66,26128.35,602.40253
2023-08-26,26127.18,26207.41,26027.32,26079.18,124.15098
2023-08-27,26078.26,26226.97,26030.55,26155.68,102.519
2023-08-28,26157.53,26286.61,25913.84,26119.35,322.09127
2023-08-29,26119.59,28176.84,25959.61,27777.03,914.47712
2023-08-30,27773.06,27825.66,27093.29,27366.34,598.79167
2023-08-31,27359.79,27606.2,25770.01,26024.99,846.15041
