date,open,high,low,close,volume
2023-03-01,23396.92,24172.28,23253.57,23784.01,2581.29843
2023-03-02,23781.18,23943.84,23358.2,23569.5,2469.58614
2023-03-03,23571.15,23579.91,22248.81,22569.65,3989.13249
2023-03-04,22569.65,22650.15,22360.23,22559.38,1191.93042
2023-03-05,22554.41,22844.38,22387.09,22572.5,1856.89702
2023-03-06,22573.57,22708.43,22414.84,22479.58,2055.77746
2023-03-07,22485.03,22621.04,22007.97,22248.52,3494.20664
2023-03-08,22249.99,22326.54,21634.89,21756.69,2559.84725
2023-03-09,21762.34,21884.44,20121.92,20510.35,4750.3091
2023-03-10,20513.9,20516.08,19705.73,20221.05,5061.09271
2023-03-11,20230.84,20876.7,19791.78,20288.7,3597.81908
2023-03-12,20286.33,22215.02,20136.0,22087.47,4465.40523
2023-03-13,22082.71,24619.3,21737.13,24018.61,7857.07619
2023-03-14,24015.87,26392.29,23924.94,24655.53,7990.78918
2023-03-15,24661.99,25258.52,23923.83,24365.81,5120.11961
2023-03-16,24358.01,25286.05,24177.55,25117.86,3615.76296
2023-03-17,25115.23,27908.49,25002.89,27501.95,6042.8164
2023-03-18,27498.37,27880.92,26778.66,27058.14,3672.35675
2023-03-19,27055.66,28632.57,26926.35,28275.23,3940.89165
2023-03-20,28269.95,28653.54,27314.94,27956.82,4288.89009
2023-03-21,27939.48,28597.08,27528.04,28358.59,4051.90711
2023-03-22,28359.36,29084.24,26799.92,27544.71,2977.15333
2023-03-23,27557.96,28998.78,27355.45,28450.83,2056.22677
2023-03-24,28445.08,28535.47,27221.23,27700.22,1430.59858
2023-03-25,27708.01,27992.24,27369.42,27687.9,719.56325
2023-03-26,27681.24,28349.44,27630.93,28102.6,1094.07901
2023-03-27,28088.63,28129.6,26679.48,27303.33,1862.12772
2023-03-28,27296.17,27590.51,26689.01,27301.96,1354.89122
2023-03-29,27314.43,28730.11,27294.74,28394.9,1850.60349
2023-03-30,28396.02,29191.43,27803.82,28131.03,1849.15679
2023-03-31,28134.19,28732.19,27620.29,28539.72,1384.9645
